project,boring_id,depth_top_ft,depth_bot_ft,n_value,sampler,soil_major,source_file
REGALIA,TB-1,0,1,25,SPT,LIMESTONE AND SAND (FILL),REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,1,2,25,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,2,4,31,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,4,6,20,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,6,8,19,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,8,10,26,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,10,13,,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,13,15,32,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,15,18,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,18,20,15,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,20,23,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,23,25,13,SPT,PEAT,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,25,27,25,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,27,28,,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,28,30,50,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,30,33,,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,33,35,42,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,35,38,,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,38,40,11,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,40,43,,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,43,45,80,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,45,48,,SPT,LIMESTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,48,49,7,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,49,50,7,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,50,53,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,53,55,3,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,55,57,1,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,57,58,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,58,60,15,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,60,63,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,63,65,9,SPT,CEMENTED SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,65,66,"50/2""",SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,66,68,,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,68,70,19,SPT,CEMENTED SAND AND SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,70,72,WOH,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,72,73,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,73,75,WOH,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,75,77,11,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,77,78,,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,78,80,30,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,80,83,,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,83,85,WOH,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,85,90,WOR/5,SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,90,92,"50/1""",SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,92,93,,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,93,95,"50/2""",SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,95,98,,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,98,100,"150/1""",SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,100,103,,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,103,105,"100/1""",SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,105,108,,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,108,110,"150/5""",SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,110,113,,SPT,CEMENTED SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,113,115,"100/1""",SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,115,118,,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,118,120,17,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,120,123,,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,123,125,6,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,125,128,,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,128,130,17,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,130,133,,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,133,134,"100/5""",SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,134,138,,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,138,140,120,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,140,143,,SPT,CEMENTED SAND/SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,143,145,"100/4""",SPT,SAND,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,145,148,,SPT,CEMENTED SAND AND SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,148,149,"100/3""",SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-1,149,157,,SPT,SANDSTONE,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,0,2,12,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,2,4,20,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,4,6,20,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,6,8,18,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,8,10,26,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
REGALIA,TB-2,10,13,,SPT,SAND AND SHELLS,REGALIA - B0606824 - Documents.pdf
